Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
Andrew Toolkit,application/andrew-inset,N/A,IANA - Andrew Inset,http://www.iana.org/assignments/media-types/application/andrew-inset
Applixware,application/applixware,.aw,Vistasource,http://www.vistasource.com/en/apl.php
Atom Syndication Format,application/atom+xml,".atom, .xml",RFC 4287,http://tools.ietf.org/html/rfc4287
Atom Publishing Protocol,application/atomcat+xml,.atomcat,RFC 5023,http://www.rfc-editor.org/rfc/rfc5023.txt
Atom Publishing Protocol Service Document,application/atomsvc+xml,.atomsvc,RFC 5023,http://www.rfc-editor.org/rfc/rfc5023.txt
Voice Browser Call Control,"application/ccxml+xml,",.ccxml,Voice Browser Call Control: CCXML Version 1.0,http://www.w3.org/TR/ccxml/
Cloud Data Management Interface (CDMI) - Capability,application/cdmi-capability,.cdmia,RFC 6208,http://www.rfc-editor.org/info/rfc6208
Cloud Data Management Interface (CDMI) - Contaimer,application/cdmi-container,.cdmic,RFC 6209,http://www.rfc-editor.org/info/rfc6209
Cloud Data Management Interface (CDMI) - Domain,application/cdmi-domain,.cdmid,RFC 6210,http://www.rfc-editor.org/info/rfc6210
Cloud Data Management Interface (CDMI) - Object,application/cdmi-object,.cdmio,RFC 6211,http://www.rfc-editor.org/info/rfc6211
Cloud Data Management Interface (CDMI) - Queue,application/cdmi-queue,.cdmiq,RFC 6212,http://www.rfc-editor.org/info/rfc6212
CU-SeeMe,application/cu-seeme,.cu,White Pine,http://www.wpine.com/
Web Distributed Authoring and Versioning,application/davmount+xml,.davmount,RFC 4918,http://tools.ietf.org/html/rfc4918
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+der,.dssc,RFC 5698,http://www.rfc-editor.org/rfc/rfc5698.txt
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc,RFC 5698,http://www.rfc-editor.org/rfc/rfc5698.txt
ECMAScript,application/ecmascript,.es,ECMA-357,http://www.ecma-international.org/publications/standards/Ecma-357.htm
Extensible MultiModal Annotation,application/emma+xml,.emma,EMMA: Extensible MultiModal Annotation markup language,http://www.w3.org/TR/2007/CR-emma-20071211/
Electronic Publication,application/epub+zip,.epub,Wikipedia: EPUB,https://en.wikipedia.org/wiki/EPUB
Efficient XML Interchange,application/exi,.exi,Efficient XML Interchange (EXI) Best Practices,http://www.w3.org/TR/exi-best-practices/
Portable Font Resource,application/font-tdpfr,.pfr,RFC 3073,http://tools.ietf.org/html/rfc3073
Hyperstudio,application/hyperstudio,.stk,IANA - Hyperstudio,http://www.iana.org/assignments/media-types/application/hyperstudio
Internet Protocol Flow Information Export,application/ipfix,.ipfix,RFC 3917,http://tools.ietf.org/html/rfc3917
Java Archive,application/java-archive,.jar,Wikipedia: JAR file format,https://en.wikipedia.org/wiki/JAR_%28file_format%29
Java Serialized Object,application/java-serialized-object,.ser,Java Serialization API,http://java.sun.com/developer/technicalArticles/Programming/serialization/
Java Bytecode File,application/java-vm,.class,Wikipedia: Java Bytecode,https://en.wikipedia.org/wiki/Java_bytecode
JavaScript,application/javascript,.js,JavaScript,https://en.wikipedia.org/wiki/Javascript
JavaScript Object Notation (JSON),application/json,.json,Wikipedia: JSON,https://en.wikipedia.org/wiki/Json
Macintosh BinHex 4.0,application/mac-binhex40,.hqx,MacMIME,http://www.iana.org/assignments/media-types/multipart/appledouble
Compact Pro,application/mac-compactpro,.cpt,Compact Pro,http://www.cyclos.com/compactpro.htm
Metadata Authority  Description Schema,application/mads+xml,.mads,RFC 6207,http://tools.ietf.org/html/rfc6207
MARC Formats,application/marc,.mrc,RFC 2220,http://www.faqs.org/rfcs/rfc2220.html
MARC21 XML Schema,application/marcxml+xml,.mrcx,RFC 6207,http://tools.ietf.org/html/rfc6207
Mathematica Notebooks,application/mathematica,.ma,IANA - Mathematica,http://www.iana.org/assignments/media-types/application/mathematica
Mathematical Markup Language,application/mathml+xml,.mathml,W3C Math Home,http://www.w3.org/Math/
Mbox database files,application/mbox,.mbox,RFC 4155,http://tools.ietf.org/html/rfc4155
Media Server Control Markup Language,application/mediaservercontrol+xml,.mscml,RFC 5022,http://tools.ietf.org/html/rfc5022
Metalink,application/metalink4+xml,.meta4,Wikipedia: Metalink,https://en.wikipedia.org/wiki/Metalink
